,Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
0,"Johor Bahru, Johor, Malaysia",1/3/2018,31.8,24.1,26.6,37.0,0.0,10.7,75.17,19.7,5.8,74.9,85.45,Partially cloudy
1,"Johor Bahru, Johor, Malaysia",01/15/2018,27.9,23.0,25.2,30.6,2.0,9.0,332.83,20.8,6.2,81.6,82.03,"Rain, Overcast"
2,"Johor Bahru, Johor, Malaysia",01/22/2018,32.4,25.1,28.3,37.4,0.0,9.5,163.88,25.3,6.2,84.3,76.48,Overcast
3,"Johor Bahru, Johor, Malaysia",2/4/2018,30.1,25.1,26.9,33.9,0.0,19.3,22.46,33.3,6.2,77.8,77.07,Overcast
4,"Johor Bahru, Johor, Malaysia",2/5/2018,30.3,24.9,27.1,33.0,0.0,19.8,19.29,24.2,6.2,81.1,73.33,Overcast
5,"Johor Bahru, Johor, Malaysia",2/12/2018,32.0,24.7,27.6,33.7,0.0,19.8,19.67,32.2,6.2,74.1,65.79,Partially cloudy
6,"Johor Bahru, Johor, Malaysia",02/14/2018,31.3,24.7,27.2,34.7,0.0,17.7,16.25,23.0,6.1,88.0,74.35,Overcast
7,"Johor Bahru, Johor, Malaysia",02/28/2018,33.9,25.7,28.3,38.4,0.0,11.5,50.79,23.0,6.1,84.3,75.14,Overcast
8,"Johor Bahru, Johor, Malaysia",3/10/2018,30.0,25.8,27.6,34.2,55.2,20.1,23.71,39.1,5.9,76.7,79.56,"Rain, Overcast"
9,"Johor Bahru, Johor, Malaysia",03/18/2018,32.4,25.7,28.7,36.8,0.0,16.6,37.96,23.0,6.2,88.9,72.52,Overcast
10,"Johor Bahru, Johor, Malaysia",4/6/2018,33.6,25.7,28.6,38.2,0.0,10.1,47.88,20.8,6.1,65.1,74.15,Partially cloudy
11,"Johor Bahru, Johor, Malaysia",04/17/2018,33.4,25.7,28.3,38.9,0.0,11.3,146.42,25.3,6.0,82.6,78.8,Overcast
12,"Johor Bahru, Johor, Malaysia",04/20/2018,32.3,25.3,27.9,37.8,5.0,10.6,99.88,24.2,5.9,79.6,81.0,"Rain, Overcast"
13,"Johor Bahru, Johor, Malaysia",04/26/2018,33.3,25.9,28.8,39.7,10.0,13.0,67.96,30.0,6.0,80.5,79.84,"Rain, Overcast"
14,"Johor Bahru, Johor, Malaysia",04/27/2018,31.4,24.0,26.8,37.5,4.0,9.7,97.54,23.0,5.5,78.5,86.55,"Rain, Overcast"
15,"Johor Bahru, Johor, Malaysia",5/2/2018,34.4,25.0,28.1,40.8,0.0,8.6,102.46,23.0,5.3,81.9,80.97,Overcast
16,"Johor Bahru, Johor, Malaysia",5/3/2018,33.0,25.5,28.0,39.4,0.0,11.1,101.42,21.9,5.6,85.4,80.77,Overcast
17,"Johor Bahru, Johor, Malaysia",05/18/2018,33.5,25.0,28.0,40.0,3.0,15.8,149.79,36.9,5.7,85.1,82.36,"Rain, Overcast"
18,"Johor Bahru, Johor, Malaysia",05/23/2018,31.2,24.8,27.8,36.7,33.0,11.7,139.42,19.7,5.6,85.3,81.65,"Rain, Overcast"
19,"Johor Bahru, Johor, Malaysia",6/8/2018,33.0,24.7,29.6,37.5,0.0,15.1,197.21,34.4,5.6,85.1,70.8,Overcast
20,"Johor Bahru, Johor, Malaysia",06/13/2018,31.7,25.4,28.5,38.1,0.0,14.3,127.88,16.1,5.9,83.9,78.5,Overcast
21,"Johor Bahru, Johor, Malaysia",06/19/2018,30.6,23.9,27.8,35.6,0.6,12.9,192.75,26.4,6.0,84.8,77.47,"Rain, Overcast"
22,"Johor Bahru, Johor, Malaysia",07/19/2018,31.4,24.4,28.5,38.4,8.0,10.4,140.88,16.1,5.7,81.0,80.07,"Rain, Overcast"
23,"Johor Bahru, Johor, Malaysia",8/8/2018,30.3,23.1,27.0,35.2,17.0,12.9,179.08,33.3,6.0,88.6,79.08,"Rain, Overcast"
24,"Johor Bahru, Johor, Malaysia",08/20/2018,32.3,27.6,29.3,37.8,0.0,12.2,130.21,19.7,6.0,83.6,69.51,Overcast
25,"Johor Bahru, Johor, Malaysia",08/28/2018,32.0,25.9,28.5,37.1,0.0,8.9,145.83,27.7,5.8,78.4,75.73,Overcast
26,"Johor Bahru, Johor, Malaysia",9/4/2018,27.3,22.4,25.8,30.0,20.0,8.5,168.79,19.7,5.7,81.1,86.5,"Rain, Overcast"
27,"Johor Bahru, Johor, Malaysia",09/23/2018,33.0,24.3,28.5,37.3,0.0,10.0,126.46,21.9,5.7,74.1,73.94,Partially cloudy
28,"Johor Bahru, Johor, Malaysia",10/16/2018,32.1,25.0,27.6,36.5,10.2,11.6,150.21,30.0,5.8,85.9,81.09,"Rain, Overcast"
29,"Johor Bahru, Johor, Malaysia",10/19/2018,32.5,24.3,28.1,37.3,0.0,8.2,234.13,25.3,6.0,85.2,76.92,Overcast
30,"Johor Bahru, Johor, Malaysia",10/23/2018,32.4,23.8,27.4,38.3,0.0,8.3,142.71,23.0,6.0,84.7,82.09,Overcast
31,"Johor Bahru, Johor, Malaysia",10/28/2018,31.4,25.8,27.2,38.0,2.1,11.5,91.13,26.4,5.5,83.2,86.17,"Rain, Overcast"
32,"Johor Bahru, Johor, Malaysia",11/3/2018,30.4,25.4,27.1,36.1,0.6,8.5,219.33,26.4,5.5,77.7,86.09,"Rain, Overcast"
33,"Johor Bahru, Johor, Malaysia",11/4/2018,32.3,25.1,27.8,40.0,5.0,8.1,145.63,21.9,5.9,84.0,84.96,"Rain, Overcast"
34,"Johor Bahru, Johor, Malaysia",11/8/2018,33.6,24.9,27.7,40.1,0.1,11.6,199.63,20.8,5.9,80.5,81.5,"Rain, Overcast"
35,"Johor Bahru, Johor, Malaysia",11/15/2018,30.1,24.4,26.5,35.9,10.0,13.2,156.33,38.0,5.9,58.2,88.03,"Rain, Partially cloudy"
36,"Johor Bahru, Johor, Malaysia",11/17/2018,31.0,22.8,27.3,36.2,8.0,17.7,112.58,36.6,5.9,81.7,84.22,"Rain, Overcast"
37,"Johor Bahru, Johor, Malaysia",11/19/2018,31.4,24.4,26.7,36.1,0.0,8.2,169.0,20.8,5.8,85.7,86.08,Overcast
38,"Johor Bahru, Johor, Malaysia",11/21/2018,30.3,23.4,26.6,35.8,109.5,13.4,223.08,28.9,5.8,71.1,85.81,"Rain, Partially cloudy"
39,"Johor Bahru, Johor, Malaysia",11/26/2018,32.2,24.1,28.0,38.2,8.0,10.5,126.5,21.9,6.0,85.4,81.44,"Rain, Overcast"
40,"Johor Bahru, Johor, Malaysia",11/27/2018,28.9,24.9,27.1,34.1,2.0,11.9,134.83,20.8,6.1,82.6,84.25,"Rain, Overcast"
41,"Johor Bahru, Johor, Malaysia",11/29/2018,30.8,25.4,27.7,37.5,0.0,9.5,119.17,31.1,6.1,80.3,84.87,Overcast
42,"Johor Bahru, Johor, Malaysia",12/1/2018,30.4,25.3,27.0,36.6,17.0,14.4,152.17,30.0,5.9,83.8,87.93,"Rain, Overcast"
43,"Johor Bahru, Johor, Malaysia",12/5/2018,31.4,25.6,27.4,38.0,0.1,9.0,119.58,18.3,6.0,80.8,87.24,"Rain, Overcast"
44,"Johor Bahru, Johor, Malaysia",12/9/2018,31.8,25.6,28.3,38.2,4.0,11.7,79.25,16.1,6.2,83.5,82.73,"Rain, Overcast"
45,"Johor Bahru, Johor, Malaysia",1/1/2019,33.3,25.4,28.5,37.9,122.0,12.2,294.75,26.4,6.1,51.8,75.19,"Rain, Partially cloudy"
46,"Johor Bahru, Johor, Malaysia",1/2/2019,32.3,25.4,28.9,37.6,0.0,10.7,300.13,28.9,6.2,46.5,72.32,Partially cloudy
47,"Johor Bahru, Johor, Malaysia",1/3/2019,31.8,26.4,29.3,38.4,4.0,12.9,278.33,28.9,6.2,53.5,74.86,"Rain, Partially cloudy"
48,"Johor Bahru, Johor, Malaysia",2/10/2019,33.1,26.1,28.6,39.2,0.0,15.1,34.88,20.8,6.2,53.8,76.24,Partially cloudy
49,"Johor Bahru, Johor, Malaysia",3/9/2019,33.4,26.0,29.2,39.4,0.0,12.7,64.71,20.8,6.1,49.7,73.62,Partially cloudy
50,"Johor Bahru, Johor, Malaysia",3/11/2019,32.5,22.8,27.4,39.0,0.0,12.1,100.58,34.4,5.7,45.2,82.26,Partially cloudy
51,"Johor Bahru, Johor, Malaysia",03/28/2019,33.1,23.7,28.0,40.6,0.0,10.8,82.67,32.2,5.9,53.3,81.23,Partially cloudy
52,"Johor Bahru, Johor, Malaysia",03/30/2019,31.9,25.8,28.0,39.3,10.2,10.0,135.0,21.9,6.0,42.8,81.7,"Rain, Partially cloudy"
53,"Johor Bahru, Johor, Malaysia",4/3/2019,30.3,23.3,26.9,35.2,9.3,9.0,84.04,26.4,6.0,49.8,83.39,"Rain, Partially cloudy"
54,"Johor Bahru, Johor, Malaysia",4/12/2019,33.0,25.3,28.5,39.1,3.0,9.2,169.13,19.7,5.9,50.2,79.63,"Rain, Partially cloudy"
55,"Johor Bahru, Johor, Malaysia",04/15/2019,34.4,26.0,29.4,43.0,0.0,11.5,73.88,21.9,6.1,54.4,75.76,Partially cloudy
56,"Johor Bahru, Johor, Malaysia",04/19/2019,34.6,26.1,29.2,42.1,0.0,9.7,64.79,25.3,5.9,49.2,78.03,Partially cloudy
57,"Johor Bahru, Johor, Malaysia",04/29/2019,33.9,25.4,29.3,43.2,0.0,9.7,65.21,20.8,5.9,53.4,80.89,Partially cloudy
58,"Johor Bahru, Johor, Malaysia",5/3/2019,33.1,27.1,29.1,41.7,18.0,8.0,77.75,30.0,5.5,51.2,83.13,"Rain, Partially cloudy"
59,"Johor Bahru, Johor, Malaysia",5/6/2019,33.7,27.0,30.1,39.6,0.0,9.8,262.96,23.0,6.2,49.5,71.54,Partially cloudy
60,"Johor Bahru, Johor, Malaysia",5/8/2019,30.1,24.1,27.4,36.5,23.8,7.9,189.04,19.7,5.8,49.6,86.48,"Rain, Partially cloudy"
61,"Johor Bahru, Johor, Malaysia",05/15/2019,33.3,26.3,29.1,41.5,0.0,10.8,118.54,24.4,5.7,53.0,83.05,Partially cloudy
62,"Johor Bahru, Johor, Malaysia",05/17/2019,31.3,25.2,28.2,37.3,16.0,9.7,238.13,28.9,6.0,51.8,80.82,"Rain, Partially cloudy"
63,"Johor Bahru, Johor, Malaysia",05/19/2019,29.8,25.7,28.0,34.7,6.0,8.4,172.88,16.1,6.1,56.5,81.08,"Rain, Partially cloudy"
64,"Johor Bahru, Johor, Malaysia",05/30/2019,31.9,25.9,28.1,39.2,0.0,11.1,141.5,20.8,5.9,52.3,84.04,Partially cloudy
65,"Johor Bahru, Johor, Malaysia",6/11/2019,32.9,26.8,29.3,39.8,0.0,11.3,138.46,32.2,5.9,55.5,79.16,Partially cloudy
66,"Johor Bahru, Johor, Malaysia",06/22/2019,30.7,24.0,26.7,37.6,33.5,10.9,211.33,25.3,5.7,42.3,86.3,"Rain, Partially cloudy"
67,"Johor Bahru, Johor, Malaysia",7/3/2019,30.9,26.7,28.6,39.1,0.0,13.0,146.04,26.4,6.0,52.6,79.71,Partially cloudy
68,"Johor Bahru, Johor, Malaysia",7/5/2019,32.7,27.1,29.5,39.8,0.0,11.4,124.88,25.3,6.0,49.9,76.35,Partially cloudy
69,"Johor Bahru, Johor, Malaysia",07/15/2019,28.7,24.1,27.2,33.5,5.0,12.5,179.13,26.4,6.0,53.4,81.68,"Rain, Partially cloudy"
70,"Johor Bahru, Johor, Malaysia",07/23/2019,30.0,25.3,27.2,35.4,1.0,10.3,118.83,23.0,5.9,51.9,82.56,"Rain, Partially cloudy"
71,"Johor Bahru, Johor, Malaysia",07/28/2019,33.0,26.1,29.1,39.4,0.0,13.2,132.71,21.9,6.1,57.2,76.47,Partially cloudy
72,"Johor Bahru, Johor, Malaysia",08/26/2019,33.0,24.6,28.0,39.2,0.0,10.3,119.79,23.1,5.2,48.4,78.72,Partially cloudy
73,"Johor Bahru, Johor, Malaysia",08/27/2019,30.6,25.4,27.4,36.0,33.0,10.8,142.88,19.2,5.4,52.7,81.12,"Rain, Partially cloudy"
74,"Johor Bahru, Johor, Malaysia",9/7/2019,33.1,26.7,29.5,38.4,0.0,10.5,143.38,19.7,6.0,57.7,71.3,Partially cloudy
75,"Johor Bahru, Johor, Malaysia",09/25/2019,29.9,24.4,26.8,35.5,32.5,8.6,103.96,23.0,4.9,55.0,85.76,"Rain, Partially cloudy"
76,"Johor Bahru, Johor, Malaysia",10/1/2019,31.0,25.3,27.4,36.1,22.0,10.3,147.58,19.7,5.4,45.9,81.48,"Rain, Partially cloudy"
77,"Johor Bahru, Johor, Malaysia",10/12/2019,32.0,26.1,28.1,38.1,0.0,7.9,71.46,19.7,5.8,50.0,79.07,Partially cloudy
78,"Johor Bahru, Johor, Malaysia",10/14/2019,34.3,26.1,28.9,38.9,0.0,8.7,85.38,21.9,6.0,51.5,74.66,Partially cloudy
79,"Johor Bahru, Johor, Malaysia",10/22/2019,28.0,25.0,26.6,31.9,37.0,9.2,213.13,20.8,5.4,54.7,88.09,"Rain, Partially cloudy"
80,"Johor Bahru, Johor, Malaysia",11/1/2019,32.1,24.6,28.0,36.9,0.0,10.6,218.04,42.5,6.0,52.2,75.54,Partially cloudy
81,"Johor Bahru, Johor, Malaysia",11/8/2019,31.1,23.9,27.7,33.9,0.0,11.7,215.42,20.8,5.7,47.9,75.73,Partially cloudy
82,"Johor Bahru, Johor, Malaysia",11/10/2019,34.1,25.1,29.2,39.7,0.0,10.9,211.75,23.0,6.1,51.2,68.73,Partially cloudy
83,"Johor Bahru, Johor, Malaysia",12/2/2019,31.4,24.1,26.7,37.4,8.0,8.7,200.33,21.9,5.7,53.9,86.33,"Rain, Partially cloudy"
84,"Johor Bahru, Johor, Malaysia",12/4/2019,31.8,26.1,28.3,36.2,0.0,18.6,23.83,24.2,6.2,51.1,73.18,Partially cloudy
85,"Johor Bahru, Johor, Malaysia",12/7/2019,30.0,26.1,28.0,33.7,0.0,19.2,27.5,30.0,6.2,51.5,73.24,Partially cloudy
86,"Johor Bahru, Johor, Malaysia",1/10/2020,31.3,25.3,27.4,36.3,0.0,10.7,169.54,19.7,6.2,55.3,81.66,Partially cloudy
87,"Johor Bahru, Johor, Malaysia",01/28/2020,32.6,25.7,28.6,40.0,0.0,10.0,53.17,18.3,6.1,55.9,78.82,Partially cloudy
88,"Johor Bahru, Johor, Malaysia",01/29/2020,29.8,24.3,26.6,36.3,38.0,11.8,138.5,24.2,5.3,54.6,89.29,"Rain, Partially cloudy"
89,"Johor Bahru, Johor, Malaysia",2/5/2020,32.6,24.7,27.9,36.6,0.0,14.3,30.54,21.9,6.2,42.8,73.41,Partially cloudy
90,"Johor Bahru, Johor, Malaysia",2/9/2020,29.3,24.1,26.7,33.6,9.8,9.9,234.25,18.3,5.9,56.4,83.38,"Rain, Partially cloudy"
91,"Johor Bahru, Johor, Malaysia",02/14/2020,32.9,25.1,28.4,38.8,0.0,12.8,40.13,21.9,6.2,60.2,78.49,Partially cloudy
92,"Johor Bahru, Johor, Malaysia",02/22/2020,31.0,25.9,28.0,36.1,0.0,19.5,31.79,28.9,6.2,57.6,77.73,Partially cloudy
93,"Johor Bahru, Johor, Malaysia",02/24/2020,29.9,25.3,27.1,35.2,5.2,16.9,31.17,28.9,6.0,54.3,83.31,"Rain, Partially cloudy"
94,"Johor Bahru, Johor, Malaysia",02/29/2020,32.4,25.1,28.3,36.7,0.0,15.3,31.79,26.4,6.2,48.1,74.08,Partially cloudy
95,"Johor Bahru, Johor, Malaysia",03/26/2020,33.4,26.0,29.2,39.8,0.0,13.4,41.58,19.7,6.2,56.2,75.76,Partially cloudy
96,"Johor Bahru, Johor, Malaysia",4/5/2020,33.6,26.4,28.8,42.0,0.0,12.5,65.79,21.9,6.0,50.4,79.0,Partially cloudy
97,"Johor Bahru, Johor, Malaysia",04/20/2020,34.4,26.9,30.3,40.9,0.0,10.9,60.58,18.3,6.2,54.5,72.67,Partially cloudy
98,"Johor Bahru, Johor, Malaysia",04/22/2020,34.4,27.1,29.6,40.2,0.0,9.2,85.25,20.8,6.2,47.4,77.73,Partially cloudy
99,"Johor Bahru, Johor, Malaysia",5/6/2020,31.1,24.4,28.3,39.3,4.1,10.4,175.04,24.2,6.1,54.3,83.76,"Rain, Partially cloudy"
100,"Johor Bahru, Johor, Malaysia",5/11/2020,32.3,26.4,29.1,42.0,24.0,8.9,115.0,21.9,5.9,54.1,82.82,"Rain, Partially cloudy"
101,"Johor Bahru, Johor, Malaysia",05/13/2020,30.1,25.7,28.1,35.6,8.2,9.5,136.13,21.9,6.0,56.1,80.53,"Rain, Partially cloudy"
102,"Johor Bahru, Johor, Malaysia",05/15/2020,33.6,27.0,29.8,41.0,0.0,10.5,135.13,31.1,6.1,50.4,76.11,Partially cloudy
103,"Johor Bahru, Johor, Malaysia",05/21/2020,33.7,26.3,29.0,42.9,0.0,9.2,164.63,23.0,6.1,51.7,80.26,Partially cloudy
104,"Johor Bahru, Johor, Malaysia",05/26/2020,33.0,26.4,29.3,40.1,1.4,10.3,133.42,18.3,6.1,55.8,78.86,"Rain, Partially cloudy"
105,"Johor Bahru, Johor, Malaysia",05/27/2020,30.9,25.7,28.0,38.7,114.0,6.5,123.21,21.9,6.1,56.0,85.92,"Rain, Partially cloudy"
106,"Johor Bahru, Johor, Malaysia",05/31/2020,32.7,26.3,28.5,39.8,0.0,10.8,113.71,25.3,6.0,45.8,80.21,Partially cloudy
107,"Johor Bahru, Johor, Malaysia",6/2/2020,33.0,25.0,28.4,39.1,40.0,7.2,81.96,20.8,6.1,50.4,79.71,"Rain, Partially cloudy"
108,"Johor Bahru, Johor, Malaysia",6/3/2020,31.9,26.3,28.8,39.4,2.0,9.7,105.75,20.8,6.2,53.5,79.03,"Rain, Partially cloudy"
109,"Johor Bahru, Johor, Malaysia",6/4/2020,32.1,25.7,28.6,38.2,4.0,11.4,177.13,27.7,5.8,49.5,78.94,"Rain, Partially cloudy"
110,"Johor Bahru, Johor, Malaysia",6/5/2020,30.4,25.3,28.0,36.6,3.0,11.3,227.75,25.3,6.1,53.1,81.39,"Rain, Partially cloudy"
111,"Johor Bahru, Johor, Malaysia",6/7/2020,32.9,26.4,29.3,40.2,0.5,10.4,132.33,18.3,5.8,54.6,77.77,"Rain, Partially cloudy"
112,"Johor Bahru, Johor, Malaysia",6/8/2020,32.7,27.3,29.0,40.4,18.0,6.9,72.04,30.0,6.0,52.1,80.23,"Rain, Partially cloudy"
113,"Johor Bahru, Johor, Malaysia",6/9/2020,32.7,26.3,29.6,39.8,0.0,10.7,108.83,20.8,6.2,51.5,77.6,Partially cloudy
114,"Johor Bahru, Johor, Malaysia",6/10/2020,32.6,25.9,29.2,40.4,0.0,12.5,122.58,28.9,6.0,51.9,78.97,Partially cloudy
115,"Johor Bahru, Johor, Malaysia",6/11/2020,33.4,25.1,28.5,41.5,0.0,6.8,77.92,28.9,6.1,54.0,81.15,Partially cloudy
116,"Johor Bahru, Johor, Malaysia",6/12/2020,31.0,26.3,28.4,37.9,9.0,10.1,147.79,20.8,5.9,51.9,83.98,"Rain, Partially cloudy"
117,"Johor Bahru, Johor, Malaysia",06/13/2020,27.1,25.0,25.9,31.4,15.3,9.4,192.67,27.7,5.8,50.8,90.75,"Rain, Partially cloudy"
118,"Johor Bahru, Johor, Malaysia",06/14/2020,32.0,25.0,27.7,39.4,0.0,9.0,177.42,24.2,6.1,52.7,84.38,Partially cloudy
119,"Johor Bahru, Johor, Malaysia",06/15/2020,32.7,27.1,29.4,40.6,0.0,9.5,143.88,30.0,6.1,50.0,78.86,Partially cloudy
120,"Johor Bahru, Johor, Malaysia",06/16/2020,30.9,27.0,28.3,36.8,7.0,8.2,71.96,28.9,6.0,52.4,82.65,"Rain, Partially cloudy"
121,"Johor Bahru, Johor, Malaysia",06/17/2020,28.6,25.6,26.8,33.5,5.0,7.7,209.04,20.8,5.6,47.5,87.87,"Rain, Partially cloudy"
122,"Johor Bahru, Johor, Malaysia",06/18/2020,30.0,25.6,27.4,35.7,10.0,5.0,168.08,21.9,5.8,53.4,84.24,"Rain, Partially cloudy"
123,"Johor Bahru, Johor, Malaysia",06/20/2020,28.0,24.9,26.4,32.7,55.8,11.6,213.42,25.3,5.8,54.4,90.61,"Rain, Partially cloudy"
124,"Johor Bahru, Johor, Malaysia",06/21/2020,28.1,25.1,26.6,32.6,11.7,13.2,218.13,26.4,5.9,54.6,88.21,"Rain, Partially cloudy"
125,"Johor Bahru, Johor, Malaysia",06/22/2020,28.7,25.3,26.9,33.7,10.0,13.2,186.63,25.3,6.1,53.3,87.83,"Rain, Partially cloudy"
126,"Johor Bahru, Johor, Malaysia",06/23/2020,28.5,24.0,26.4,33.2,8.2,10.0,190.17,23.0,5.5,55.3,89.23,"Rain, Partially cloudy"
127,"Johor Bahru, Johor, Malaysia",06/24/2020,27.6,25.3,26.5,31.4,9.0,9.5,168.88,27.7,5.9,56.9,87.64,"Rain, Partially cloudy"
128,"Johor Bahru, Johor, Malaysia",06/25/2020,31.1,25.1,27.9,36.7,0.0,9.0,160.43,31.1,6.2,68.8,80.41,Partially cloudy
129,"Johor Bahru, Johor, Malaysia",06/26/2020,31.6,25.5,28.4,37.7,0.0,9.9,149.46,26.4,6.2,54.7,79.96,Partially cloudy
130,"Johor Bahru, Johor, Malaysia",06/27/2020,31.6,27.1,28.9,38.5,0.0,10.9,123.54,23.0,6.1,52.8,79.46,Partially cloudy
131,"Johor Bahru, Johor, Malaysia",06/28/2020,30.9,27.3,28.9,37.5,0.0,11.7,155.33,30.0,6.1,49.8,77.39,Partially cloudy
132,"Johor Bahru, Johor, Malaysia",06/29/2020,32.6,27.9,29.3,38.8,4.0,11.8,157.92,27.7,6.2,51.0,76.63,"Rain, Partially cloudy"
133,"Johor Bahru, Johor, Malaysia",06/30/2020,32.1,26.8,29.3,37.9,40.0,10.3,145.08,27.7,6.1,61.2,74.93,"Rain, Partially cloudy"
134,"Johor Bahru, Johor, Malaysia",7/1/2020,31.2,26.3,28.3,36.9,2.0,8.4,157.04,39.1,6.2,52.7,81.19,"Rain, Partially cloudy"
135,"Johor Bahru, Johor, Malaysia",7/2/2020,31.9,27.0,29.2,38.2,0.3,10.2,160.71,28.9,6.2,55.6,76.83,"Rain, Partially cloudy"
136,"Johor Bahru, Johor, Malaysia",7/3/2020,32.1,27.7,29.7,38.4,0.0,9.5,143.33,28.9,6.2,57.9,72.12,Partially cloudy
137,"Johor Bahru, Johor, Malaysia",7/4/2020,32.0,26.0,28.9,38.4,1.0,8.7,121.83,31.1,6.2,52.6,75.56,"Rain, Partially cloudy"
138,"Johor Bahru, Johor, Malaysia",7/5/2020,32.2,25.9,27.7,37.9,0.0,10.9,95.17,33.3,6.2,51.7,80.26,Partially cloudy
139,"Johor Bahru, Johor, Malaysia",7/6/2020,32.4,26.0,28.5,37.8,0.0,10.3,104.63,39.1,6.0,49.8,77.36,Partially cloudy
140,"Johor Bahru, Johor, Malaysia",7/7/2020,31.6,26.0,27.4,37.2,0.0,10.2,138.54,27.7,6.0,49.6,82.65,Partially cloudy
141,"Johor Bahru, Johor, Malaysia",7/8/2020,29.9,25.4,27.2,34.9,37.0,6.4,244.75,23.0,6.0,51.8,83.92,"Rain, Partially cloudy"
142,"Johor Bahru, Johor, Malaysia",7/9/2020,28.0,24.9,25.9,31.5,7.0,8.3,240.54,28.9,6.0,54.9,86.43,"Rain, Partially cloudy"
143,"Johor Bahru, Johor, Malaysia",7/10/2020,30.4,24.9,27.5,35.0,0.2,7.9,135.0,26.4,6.2,51.4,78.27,"Rain, Partially cloudy"
144,"Johor Bahru, Johor, Malaysia",7/11/2020,29.7,26.1,27.4,35.1,2.5,7.3,132.17,24.2,6.1,45.0,83.41,"Rain, Partially cloudy"
145,"Johor Bahru, Johor, Malaysia",7/12/2020,31.1,26.0,28.4,37.2,0.0,10.7,174.96,27.7,6.0,54.7,79.37,Partially cloudy
146,"Johor Bahru, Johor, Malaysia",07/13/2020,28.0,24.6,25.9,32.1,30.0,7.9,220.08,25.3,5.5,51.9,89.43,"Rain, Partially cloudy"
147,"Johor Bahru, Johor, Malaysia",07/14/2020,29.0,25.0,26.9,33.7,9.6,7.1,171.88,28.9,6.2,56.6,82.93,"Rain, Partially cloudy"
148,"Johor Bahru, Johor, Malaysia",07/15/2020,30.1,25.4,27.4,36.4,0.0,8.2,161.88,24.2,6.0,52.2,84.76,Partially cloudy
149,"Johor Bahru, Johor, Malaysia",07/16/2020,33.2,25.4,27.9,38.4,0.0,8.6,100.96,24.2,5.9,47.0,82.92,Partially cloudy
150,"Johor Bahru, Johor, Malaysia",07/21/2020,32.6,26.9,29.0,38.3,0.0,8.5,109.13,19.7,6.1,52.7,75.2,Partially cloudy
151,"Johor Bahru, Johor, Malaysia",07/29/2020,28.1,25.0,26.1,31.8,30.0,8.2,144.58,25.3,5.6,54.0,88.25,"Rain, Partially cloudy"
152,"Johor Bahru, Johor, Malaysia",8/4/2020,29.7,25.0,28.0,33.8,8.0,9.6,193.13,23.0,6.0,54.1,77.58,"Rain, Partially cloudy"
153,"Johor Bahru, Johor, Malaysia",08/15/2020,31.4,24.7,27.4,36.9,13.0,7.7,150.0,19.7,5.8,47.2,82.73,"Rain, Partially cloudy"
154,"Johor Bahru, Johor, Malaysia",08/16/2020,30.7,26.0,27.9,36.1,0.7,8.1,172.04,21.9,6.1,52.9,78.99,"Rain, Partially cloudy"
155,"Johor Bahru, Johor, Malaysia",08/21/2020,32.7,27.0,29.6,38.1,0.0,8.4,130.96,23.0,6.2,48.9,71.17,Partially cloudy
156,"Johor Bahru, Johor, Malaysia",08/24/2020,32.2,24.1,27.9,38.4,6.4,9.3,74.38,21.9,5.9,54.4,80.16,"Rain, Partially cloudy"
